 Code,Class,Condition Name
58000,Class 58 — System Error (errors external to PostgreSQL itself),system_error
58030,Class 58 — System Error (errors external to PostgreSQL itself),io_error
58P01,Class 58 — System Error (errors external to PostgreSQL itself),undefined_file
58P02,Class 58 — System Error (errors external to PostgreSQL itself),duplicate_file
F0000,Class F0 — Configuration File Error,config_file_error
F0001,Class F0 — Configuration File Error,lock_file_exists
HV000,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_error
HV005,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_column_name_not_found
HV002,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_dynamic_parameter_value_needed
HV010,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_function_sequence_error
HV021,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_inconsistent_descriptor_information
HV024,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_invalid_attribute_value
HV007,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_invalid_column_name
HV008,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_invalid_column_number
HV004,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_invalid_data_type
HV006,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_invalid_data_type_descriptors
HV091,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_invalid_descriptor_field_identifier
HV00B,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_invalid_handle
HV00C,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_invalid_option_index
HV00D,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_invalid_option_name
HV090,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_invalid_string_length_or_buffer_length
HV00A,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_invalid_string_format
HV009,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_invalid_use_of_null_pointer
HV014,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_too_many_handles
HV001,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_out_of_memory
HV00P,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_no_schemas
HV00J,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_option_name_not_found
HV00K,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_reply_handle
HV00Q,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_schema_not_found
HV00R,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_table_not_found
HV00L,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_unable_to_create_execution
HV00M,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_unable_to_create_reply
HV00N,Class HV — Foreign Data Wrapper Error (SQL/MED),fdw_unable_to_establish_connection
P0000,Class P0 — PL/pgSQL Error,plpgsql_error
P0001,Class P0 — PL/pgSQL Error,raise_exception
P0002,Class P0 — PL/pgSQL Error,no_data_found
P0003,Class P0 — PL/pgSQL Error,too_many_rows
P0004,Class P0 — PL/pgSQL Error,assert_failure
XX000,Class XX — Internal Error,internal_error
XX001,Class XX — Internal Error,data_corrupted
XX002,Class XX — Internal Error,index_corrupted
